tempo,deslocamento,velocidade,aceleracao
0.28300000000000003,0.06474471631173788,0.4652130656866434,1.6626930661342862
0.28400000000000003,0.06521076060108172,0.4668753897555671,1.6619535931684144
0.28500000000000003,0.06567846684327974,0.4685369699170414,1.6612052523871867
0.28600000000000003,0.06614783428999176,0.4701977973067123,1.6604480507194646
0.28700000000000003,0.06661886218401665,0.4718578630671734,1.6596819951319048
0.28800000000000003,0.06709154975929944,0.473517158348004,1.6589070926289182
0.289,0.0675658962409382,0.47517567430580654,1.658123350252626
0.29,0.06804190084519116,0.47683340210424446,1.6573307750828195
0.291,0.06851956277948372,0.47849033291407983,1.6565293742369163
0.292,0.06899888124241564,0.4801464579132109,1.6557191548699182
0.293,0.06947985542376815,0.4818017682867098,1.6549001241743713
0.294,0.06996248450451116,0.4834562552268598,1.654072289380319
0.295,0.07044676765681047,0.4851099099331931,1.653235657755263
0.296,0.0709327040440351,0.486762723612528,1.6523902366041177
0.297,0.07142029282076447,0.4884146874790064,1.6515360332691693
0.298,0.07190953313279587,0.49006579275413126,1.6506730551300313
0.299,0.0724004241171518,0.4917160306668037,1.6498013096036
0.3,0.07289296490208733,0.4933653924533604,1.6489208041440142
0.301,0.07338715460709763,0.4950138693576108,1.6480315462426076
0.302,0.07388299234292543,0.49666145263087424,1.6471335434278684
0.303,0.07438047721156855,0.49830813353201703,1.6462268032653928
0.304,0.07487960830628745,0.4999539033274897,1.6453113333578424
0.305,0.07538038471161287,0.5015987532913639,1.6443871413448994
0.306,0.07588280550335344,0.5032426747053697,1.643454234903221
0.307,0.07638686974860334,0.5048856588589318,1.6425126217463966
0.308,0.07689257650575008,0.5065276970492073,1.641562309624903
0.309,0.07739992482448219,0.5081687805811221,1.6406033063260577
0.31,0.07790891374579699,0.509808900767408,1.6396356196739752
0.311,0.07841954230200851,0.511448048928639,1.6386592575295222
0.312,0.07893180951675527,0.5130862163932686,1.6376742277902712
0.313,0.07944571440500818,0.5147233944976658,1.6366805383904555
0.314,0.0799612559730785,0.5163595745861526,1.635678197300923
0.315,0.08047843321862581,0.5179947480110398,1.634667212529092
0.316,0.08099724513066603,0.5196289061326643,1.633647592118903
0.317,0.0815176906895794,0.5212620403194247,1.6326193441507757
0.318,0.08203976886711863,0.5228941419478185,1.6315824767415588
0.319,0.08256347862641698,0.5245252024024781,1.6305369980444866
0.32,0.08308881892199646,0.5261552130762076,1.629482916249132
0.321,0.08361578869977596,0.5277841653700186,1.6284202395813594
0.322,0.08414438689707948,0.5294120506931667,1.6273489763032767
0.323,0.08467461244264445,0.5310388604631876,1.6262691347131917
0.324,0.08520646425662996,0.5326645861059336,1.625180723145561
0.325,0.08573994125062516,0.5342892190556094,1.6240837499709462
0.326,0.08627504232765755,0.5359127507548084,1.622978223595963
0.327,0.08681176638220148,0.5375351726545484,1.6218641524632385
0.328,0.08735011230018651,0.5391564762143082,1.6207415450513583
0.329,0.08789007895900594,0.5407766529020627,1.6196104098748219
0.33,0.08843166522752532,0.5423956941943194,1.6184707554839932
0.331,0.08897486996609097,0.5440135915761543,1.6173225904650548
0.332,0.08951969202653857,0.5456303365412472,1.616165923439956
0.333,0.09006613025220184,0.5472459205919177,1.615000763066368
0.334,0.09061418347792112,0.5488603352391611,1.6138271180376325
0.335,0.0911638505300521,0.5504735720026839,1.6126449970827155
0.336,0.09171513022647458,0.5520856224109391,1.611454408966157
0.337,0.09226802137660116,0.5536964780011621,1.6102553624880214
0.338,0.0928225227813861,0.5553061303194061,1.6090478664838503
0.339,0.09337863323333413,0.5569145709205777,1.6078319298246126
0.34,0.09393635151650935,0.5585217913684721,1.6066075614166535
0.341,0.09449567640654408,0.5601277832358084,1.605374770201647
0.342,0.09505660667064786,0.561732538104265,1.6041335651565458
0.343,0.09561914106761639,0.5633360475645152,1.6028839552935308
0.34400000000000003,0.09618327834784057,0.5649383032162616,1.601625949659961
0.34500000000000003,0.09674901725331551,0.5665392966682721,1.600359557338325
